size,time,flops,add,mul
600,8.987310,373123160,291931630,81191530
601,9.090804,375285561,293012230,82273331
602,9.104992,376922385,293834548,83087837
603,8.993756,379099218,294922362,84176856
604,9.087213,379827207,295306078,84521129
605,9.054780,382018520,296401130,85617390
606,8.787321,383677128,297234366,86442762
607,8.830603,385882969,298336680,87546289
608,9.235853,378947969,295803740,83144229
609,9.096118,381168386,296913340,84255046
610,8.999634,382848922,297757566,85091356
611,9.105671,385083963,298874476,86209487
612,9.301633,385830776,299267866,86562910
613,9.066007,388080489,300392110,87688379
614,9.010585,389783097,301247398,88535699
615,9.118070,392047530,302379000,89668530
616,9.071169,391195714,302029434,89166280
617,9.212867,393474915,303168418,90306497
618,9.185889,395199739,304034840,91164899
619,9.303078,397493756,305181230,92312526
620,9.219118,398259633,305584414,92675219
621,9.159986,400568514,306738234,93830280
622,9.161403,402315698,307615862,94699836
623,9.120255,404639491,308777136,95862355
624,9.202120,401108576,307287100,93821476
625,9.252698,403447329,308455852,94991477
626,9.211732,405217017,309344758,95872259
627,9.238517,407570778,310521012,97049766
628,9.146939,408355959,310934110,97421849
629,9.159996,410724776,312117890,98606886
630,9.131663,412517112,313018146,99498966
631,9.215282,414901033,314209476,100691557
632,9.137018,413999625,313837108,100162517
633,9.346034,416398698,315036012,101362686
634,9.185985,418213826,315947690,102266136
635,9.432038,420628099,317154192,103473907
636,8.946997,421432824,317577324,103855500
637,9.163476,423862345,318791448,105070897
638,9.114862,425700409,319714620,105985789
639,9.342009,428145226,320936390,107208836
640,9.555235,417549330,326959600,90589730
641,9.530396,420009491,328189040,91820451
642,9.516519,421870635,329123778,92746857
643,9.644071,424346188,330360912,93985276
644,9.582182,425170697,330794198,94376499
645,9.536798,427661690,332039050,95622640
646,9.543984,429546058,332985426,96560632
647,9.771535,432052539,334238020,97814519
648,9.517615,431100147,333842154,97257993
649,9.525302,433622164,335102514,98519650
650,9.698615,435529900,336060600,99469300
651,9.568940,438067501,337328750,100738751
652,9.522017,438912034,337772310,101139724
653,9.650810,441465267,339048274,102416993
654,9.681932,443396515,340018142,103378373
655,9.616583,445965428,341301944,104663484
656,9.673843,442027961,339622910,102405051
657,9.580789,444612602,340914574,103698028
658,9.566438,446567506,341896296,104671210
659,9.784521,449167923,343195846,105972077
660,9.871467,450032720,343649800,106382920
661,9.617922,452648961,344957260,107691701
662,9.682107,454627665,345950908,108676757
663,9.673486,457259778,347266302,109993476
664,9.559751,456255010,346846242,109408768
665,9.756374,458903043,348169594,110733449
666,9.627169,460905691,349175240,111730451
667,9.744724,463569692,350506574,113063118
668,9.699887,464454993,350971042,113483951
669,9.664352,467135010,352310382,114824628
670,9.620614,469161746,353328098,115833648
671,9.817509,471857827,354675468,117182359
672,9.781671,463130115,351346758,111783357
673,9.629850,465842308,352702182,113140126
674,9.702120,467893276,353732040,114161236
675,9.730603,470621629,355095542,115526087
676,9.655612,471527674,355570644,115957030
677,9.683294,474272235,356942248,117329987
678,9.861048,476347579,357984320,118363259
679,9.762071,479108396,359364050,119744346
680,9.632737,478049860,358919100,119130760
681,9.712355,480826981,360306980,120520001
682,9.723793,482926845,361361338,121565507
683,9.840325,485720318,362757392,122962926
684,9.921093,486647347,363243248,123404099
685,9.882487,489457220,364647500,124809720
686,9.798607,491581748,365714216,125867532
687,9.807012,494408069,367126690,127281379
688,9.686968,490042018,365247642,124794376
689,9.781842,492884835,366668362,126216473
690,9.892106,495034171,367747508,127286663
691,9.799940,497893532,369176498,128717034
692,9.706990,498841785,369673228,129168557
693,10.058857,501717738,371110512,130607226
694,10.652540,503892026,372202160,131689866
695,10.345069,506784619,373647762,133136857
696,9.996495,505670923,373177226,132493697
697,10.037405,508580204,374631170,133949034
698,9.981863,510779588,375735392,135044196
699,10.232781,513705605,377197702,136507903
