size,time,flops,add,mul
509,0.335977,169865237,108234068,61631169
510,0.333712,171040773,108825144,62215629
511,0.344600,172603414,109605954,62997460
512,0.310629,169724080,117017328,52706752
513,0.315789,171298993,117804272,53494721
514,0.318327,172493001,118404610,54088391
515,0.321215,174080234,119197712,54882522
516,0.325101,174616999,119482934,55134065
517,0.327194,176216600,120282218,55934382
518,0.326108,177429224,120891890,56537334
519,0.330114,179041241,121697380,57343861
520,0.331037,178457745,121470010,56987735
521,0.338939,180082226,122281730,57800496
522,0.342853,181313610,122900808,58412802
523,0.342812,182950603,123718782,59231821
524,0.347339,183503552,124012358,59491194
525,0.347834,185153105,124836610,60316495
526,0.352619,186403393,125465166,60938227
527,0.361084,188065554,126295720,61769834
528,0.347620,185622103,125306582,60315521
529,0.351513,187296920,126143462,61153458
530,0.357588,188566256,126781568,61784688
531,0.354442,190253777,127624798,62628979
532,0.360137,190823150,127926848,62896302
533,0.359794,192523423,128776452,63746971
534,0.365024,193811951,129424180,64387771
535,0.368781,195525024,130280182,65244842
536,0.369267,194900288,130034186,64866102
537,0.370065,196626209,130896610,65729599
538,0.372969,197934073,131554032,66380041
539,0.380199,199672890,132422902,67249988
540,0.373523,200258927,132733546,67525381
541,0.378591,202010688,133608886,68401802
542,0.383488,203338032,134276074,69061958
543,0.387015,205102785,135157908,69944877
544,0.371235,199757121,133319050,66438071
545,0.373612,201534914,134207402,67327512
546,0.377487,202881882,134884428,67997454
547,0.380644,204672763,135779322,68893441
548,0.381975,205275704,136098680,69177024
549,0.386398,207079721,137000140,70079581
550,0.391929,208446457,137687076,70759381
551,0.392982,210263658,138595126,71668532
552,0.393894,209596290,138329808,71266482
553,0.397168,211426723,139244472,72182251
554,0.402563,212813371,139941390,72871981
555,0.405534,214657084,140862692,73794392
556,0.403578,215277169,141190884,74086285
557,0.475087,217134210,142118848,75015362
558,0.420493,218540914,142825820,75715094
559,0.426161,220411331,143760470,76650861
560,0.412836,217627424,142615382,75012042
561,0.480488,219511265,143556742,75954523
562,0.421100,220938169,144273840,76664329
563,0.425991,222835482,145221934,77613548
564,0.429551,223472951,145559080,77913871
565,0.432261,225383784,146513932,78869852
566,0.432000,226831032,147241228,79589804
567,0.497569,228755433,148202862,80552571
568,0.438221,228044041,147917526,80126515
569,0.444208,229982058,148885966,81096092
570,0.437898,231449794,149623532,81826262
571,0.441031,233401475,150598802,82802673
572,0.452604,234056568,150945022,83111546
573,0.449406,236021961,151927146,84094815
574,0.454222,237510329,152675054,84835275
575,0.455805,239489482,153664056,85825426
576,0.431918,230366119,152129534,78236585
577,0.436137,232359080,153125438,79233642
578,0.442570,233868224,153883760,79984464
579,0.479502,235875041,154886590,80988451
580,0.444928,236547998,155242004,81305994
581,0.451750,238568719,156251784,82316935
582,0.450400,240098783,157020592,83078191
583,0.459495,242133456,158037346,84096110
584,0.453912,241376648,157731296,83645352
585,0.459721,243425321,158755048,84670273
586,0.455882,244976449,159534414,85442035
587,0.465475,247039170,160565188,86473982
588,0.467304,247730231,160929916,86800315
589,0.477817,249807048,161967736,87839312
590,0.474513,251379384,162757732,88621652
591,0.480379,253470345,163802622,89667723
592,0.470066,250323950,162490568,87833382
593,0.478643,252429103,163542552,88886551
594,0.481469,254022791,164343250,89679541
595,0.483621,256142184,165402352,90739832
596,0.482846,256851589,165776514,91075075
